Nº,FECHA,AUTOR,TITULO,EDITORIAL,ISBN,D,PUCCI NELIDA
185,5/7/2010," Kinsale, Laura",El corazón escondido," Argentina : Javier Vergara Ed., 1993. ",ISBN : 950-15-1322-X,D,ROBERTO ARAGON
186,07/05/201," Fernanadez De La Reguera, Ricardo",Experimento," España : Plaza & Janes, 1974. ",ISBN : 84-01-44073-4,D,ROBERTO ARAGON
187,5/7/2010, Historias Bíblicas,Mi libro de Historias Bíblicas," Estados Unidos : My Book of Biblie Stories, 1978. ",                                  116 p. ; 15 cm.,D,ROBERTO ARAGON
188,5/7/2010," de Wahite, Elena G.",El Camino a Cristo," Argentina : Editora Sudamericana, 1985. ",ISBN : 950-573-082-9 ,D,ROBERTO ARAGON
189,5/7/2010," Sagan, Carl",La conexión cósmica," Argentina : Ed. Hyspamerica, 1978. ",ISBN : 84-7634-115-6,D,ROBERTO ARAGON
190,5/7/2010," McNaught, Judith",Mentira de Amor," Argentina : Ed. Atlántida, 1984. ",ISBN : 950-08-1302-5,D,ROBERTO ARAGON
191,5/7/2010," Maurois, Andre",Napoleón," España : Salvat Editores, 1985. ",ISBN : 84-345-8148-9,D,ROBERTO ARAGON
192,5/7/2010," Camus, Albert",La peste," Argentina : Ed. Seix Barral, 1985. ",,,
193,5/20/2010," Heller, Jane",Falsa identidad," Argentina : Ed. Claridad, 2009. ",ISBN : 978-950-620-261-3,C,ED. HELIASTA (BS.AS.)
194,5/20/2010," Parquer, Alan",El beso del Incauto," Argentina : Ed. Emecé, 2008. ",ISBN : 978-950-04-3009-8,C,DICKENS LIBROS (BS.AS.)
195,5/20/2010," Crusie, jennifer",La falsificadora (grandes novelistas)," Argentina: Ed. Emecé, 2008. ",ISBN : 978-950-04-3017-3,C,DICKENS LIBROS (BS. AS.)
196,5/20/2010," Conan Doyle, Arthur",El regreso de Sherlock Holmes," Argentina : Ed. Claridad, 2010. ",ISBN : 978-950-620-166-1,C,ED. HELIASTA (BS. AS.)
197,5/20/2010," Poe, Edgar Alan",Cuentos de humor y sátira," Argentina : Ed. Claridad, 2007. ",ISBN : 950-620-157-9,C,ED. HELIASTA (BS. AS.)
198,5/20/2010," Quinn, Daniel",A.D. El año que cambió el mundo (grandes novelistas)," Argentina : Ed. Emecé, 2008. ",ISBN : 978-950-04-3006-7,C,DICKENS LIBROS (BS. AS.)
199,5/20/2010," Conan Doyle, Arthur",Relatos de misterio," Argentina : Ed. Claridad, 2007. ",ISBN : 798-950-620-230-9,C,ED. HELIASTA (BS. AS.)
200,5/20/2010,"Christie, Agatha",El misterio del tren azul," Argentina : Ed. Planeta, 2006. ",ISBN : 978-950-49-1619-2,C,DICKENS LIBROS (BS. A.S.)
201,5/20/2010," Christie, Agatha",Intriga en Bagdad," Argentina : Ed. Planeta, 2007. ",ISBN : 978-950-49-1670-3,C,DICKENS LIBROS (BS. AS.)
202,5/20/2010," Christie, Agatha",Los elefantes pueden recordar," Argentina : Ed. Planeta, 2006. ",ISBN : 978-950-49-1616-1,C,DICKENS LIBROS (BS. AS.)
203,5/20/2010," Christie, Agatha",El espejo roto," Argentina : Ed. Planeta, 2006. ",ISBN : 978-950-49-1618-5,C,DICKENS LIBROS (BS. AS.)
204,5/20/2010," Christie, Agatha",Cianuro espumoso," Argentina : Ed. Planeta, 2006. ",ISBN : 978-950-49-1613-0,C,DICKENS LIBROS (BS. AS.)
205,5/20/2010," Poe, Edgar Alan",Cuentos de horror y misterio," Argentina : Ed. Claridad, 2005. ",ISBN : 950-620-158-7,C,"ED. HELIASTA (BS, AS.)"
206,2/22/2011," Lapajufker, Marcelo",Hay dos cartas sin abrir," Argentina : Ed. El Autor, 2007 ",ISBN : 978-987-05-3595-9,C,CUSPIDE Libros S.A.
209,2/22/2011," Feinmann, José Oablo",Peronismo Filosofía polítiva de una persistencia argentina," Argentina : Ed. Planeta, 2010 ",ISBN : 978-950-49-2378-7,C,CUSPIDE Libros S.A.
210,2/22/2011," Rozitchner, Leon",Las desventuras del sujeto político," Argentina : Ed. El Cielo por Asalto, 1996 ",ISBN : 987-9035-08-9,C,CUSPIDE Libros S:A.
211,2/22/2011," Alvarado, Maite",El Lecturón II La máquina de hacer lectores," Argentina : Ed. El Hacedor, 2010 ",ISBN : 978-987-9272-04-6,C,CUSPIDE Libros S.A.
212,2/22/2011," Chapra, Steven C. - Canale, Raymond P.",Métodos numéricos para ingenieros," México : Ed. McGraw-Hill, 2007 ",ISBN : 978-970-10-6114-5,C,CUSPIDE Libros S:A.
213,2/22/2011," Osorio, Fernanado",¿Qué función cumplen los padres de un niño?, Argentina : Ed. Novedades Educ. ,ISBN : 978-987-538-230-5,C,CUSPIDE Libros S.A.
214,2/22/2001," Coelho, Paulo",Palabras esenciales II," Argentina : -ed. Lidia M. Riba, 2008 ",ISBN : 978-987-612-146-0,C,CUSPIDE Libros S.A.
216,2/22/2010," Devetach, Laura",Cuento de los enrredos," Argentina : Ed. Grupo AIQUE, 2005 ",ISBN : 950-701-542-6,C,CUSPIDE Libros S.A.
218,2/22/2011," Cortázar, Julio",Cuentos completos 1," Argentina : Ed. ALFAGUARA, 2010 ",ISBN : 978-987-04-1472-8,C,CUSPIDE Libros S.A.
220,2/22/2011," Balagurusamy, E.",Programación orientada a objetos con c++," España : Ed. McGraw-Hill, 2007 ",ISBN : 978-84-481-5621-3,C,CUSPIDE Libros S.A.
221,2/22/2011," Grimaldi, Ralph P.",Matemáticas discreta y combinatoria," México : Ed. PEARSON, 1998 ",ISBN : 968-444-324-2,C,CUSPIDE Libros S.A.
222,2/22/2011, QUINO,Mafalda inedita," Argentina : Ed. De La Flor S.R.L., 1988 ",ISBN : 978-950-515-664-1,C,CUSPIDE Libros S.A.
224,2/22/2001, QUINO,Humano se nace," Argentina : Ed. De La Flor S.R.L., 2009 ",ISBN : 978-950-515-680-1,C,CUSPIDE Libros S.A.
226,2/22/2011," Fazzio, Adriana","Niñez, Familia y Derechos Humanos"," Argentina : Ed. Espacio, 2010 ",ISBN : 978-950-802-327-8,C,CUPIDE Libros S.A.
227,2/22/2011," Coelho, Paulo",La Bruja de Portobello," Argentina : Ed. Planeta, 2009 ",ISBN : 978-950-49-2178-3,C,CUSPIDE Libros S.A.
230,2/22/2011," De Santis, Pablo",Los anticuarios," Argentina : Ed. Planeta, 2010 ",ISBN : 978-950-49-2390-9,C,CUSPIDE Libros S.A.
232,2/22/2011," Cook, Robin",Cuerpo extraño," Argentina : Ed. Plaza & Janés, 2009 ",ISBN : 978-950-644-172-2,C,CUSPIDE Libros S.A.
234,2/22/2011," Hood, Robin",El Proscipto," Argentina : Ed. Edhasa,2010 ",ISBN : 978-987-628-089-1,C,CUSPIDE Libros S.A.
236,2/22/2010," Allende, Isabel",El plan infinito," Argentina : Ed. Sudamericana, 2009 ",ISBN : 987-1138-88-1,C,CUSPIDE Libros S.A.
238,2/22/2011," Cooh, Robin",ADN," Argentina : Ed. Sudamericana, 2010 ",ISBN : 978-987-566-514-9,C,CUSPIDE Libros S.A.
240,2/22/2011," Freire, Hector J.",El Cine en su laberinto," Argentina : Ed. Topía, 2009 ",ISBN : 978-987-1185-30-6,C,CUSPIDE Libros S.A.
242,2/22/2011," Castellano, Emanuel",El libro mágico de Harry Potter," Argentina : Ed. OVNI, 2009 ",ISBN : 978-987-24341-9-9,C,CUSPIDE Libros S.A.
244,2/22/2011," Rowling, J. K.",Harry Potter y el cáliz de fuego," España : Ed. Salamandra, 2010 ",ISBN : 978-84-9838-015-6,C,CUSPIDE Libros S.A.
246,2/22/2011," Rowling, J. K.",Harry Potter y el prisionero de Azkaban," España : Ed. Salamndra, 2010 ",ISBN : 978-84-9838-014-9,C,CUSPIDE Libros S.A.
248,2/22/2011," García Márquez, Gabriel",El amor en los tiempos del cólera," Argentina : Ed. Sudamericana, 2009 ",ISBN : 950-07-2608-4,C,CUSPIDE Libros S.A.
250,2/22/2011," Piglia, Ricardo",Blanco nocturno," España : Ed. Anagrama, 2010 ",ISBN : 978-84-339-7215-6,C,CUSPIDE Libros S.A.
252,2/22/2011," Piglia, Ricardo",Plata quemada," España : Ed. Anagrama, 2000 ",ISBN : 978-84-339-2462-9,C,CUSPIDE Libros S.A.
254,2/22/2011," Bonasso, Miguel",Diario de un clandestino," Argentina : Ed. Planeta, 2010 ",ISBN : 978-950-49-2435-7,C ,CUSPIDE Libros S.A.
256,2/22/2011," Balmaceda, Daniel",Biografía no autorizada de 1910," Argentina : Ed. Sudamericana, 2010 ",ISBN : 978-950-07-3226-0,C,CUSPIDE Libros S.A.
258,2/22/2010," Galeano, Eduardo",El libro de los abrazos," Argentina : Ed. Siglo Veintiuno, 2010 ",ISBN : 978-987-629-116-3,C,CUSPIDE Libros S.A.
260,2/22/2011," Devetach, Laura",Cuentos del Paí Luchi,"Argentina : Ed. Sudemaricana, 2001 ",isbn : 950-07-2090-6,C,CUSPIDE Libros S.A.
262,2/22/2011," García Márquez, Gabriel",Vivir para contarla," Argentina : Ed. Sudamericana, 2010 ",ISBN : 987-566-029-9,C,CUSPIDE Libros S.A.
264,2/22/2011," García Márquez, Gabriel",Cien años de soledad," Argentina : Ed. Sudamericana, 2009 : 494 p. ",ISBN : 987-1138-14-8,C,CUSPIDE Libros S.A.
267,2/22/2011," Stamateas, Bernardo",AUTOBOICOT Cuando el tóxico es uno mismo," Argentina : Ed. Planeta, 2009 : 190 p. ",ISBN : 978-950-49-1967-4,C,CUSPIDE Libros S.A.
269,2/22/2011," Brown, Dan",El  Código Da Vinci," España : Ed. URANO, 2007 ",ISBN : 978-84-96829-00-8,C,CUSPIDE Libros S.A.
271,2/22/2011," De Santis, Pablo",Páginas mezcladas," Argentina : Ed. Colihue, 2009 ",ISBN : 978-950-581-222-6,C,CUSPIDE Libros S.A.
273,2/22/2001," De Santis, Pablo",Desde el ojo del pez," Argentina : Ed. Alfaguara, 2008 ",ISBN : 978-987-04-1065-2,C,CUSPIDE Libros S.A.
275,2/22/2011," Rapoport, Mario",Las políticas económicas de la Argentina," Argentina : Ed. Booket, 2010 ",ISBN : 978-987-580-370-4,C,CUSPIDE Libros S.A.
276,2/22/2011," Sabato, Hilda",Pueblo y Política la construcción de la Arg. Moderna," Argentina : Capital Intelectual, 2010 ",ISBN : 978-987-614-216-8,C,CUSPIDE Libros S.A.
278,2/22/2011," Arreche, Araceli y Otros",El Teatro y Los Niños," Argentina : Ed. Atuel, 2006 ",ISBN : 987-1155-23-9,C,CUSPIDE Libros S.A.
280,2/22/2001," Rowling, J. K.",Harry Potter y las reliquias de la muerte," España : Ed. Salamandra, 2008 ",ISBN : 978-84-9838-144-3,C,CUSPIDE Libros S.A.
282,2/22/2011," Brown, Dan",Angeles y Demonios," España : Ed. URANO, 2009 ",ISBN : 978-84-92516-51-3,C,CUSPIDE Libros S.A.
284,2/22/2011," Stamateas, Alejandra",Mi cuerpo Mi cárcel," Argentina : Ed. V & R, 2009 ",ISBN : 978-987-612-222-1,C,CUSPIDE Libros S.A.
286,2/22/2011," Stamateas, Bernardo",Gente Toxica," Argentina : Ed. ZETA, 2010 ",ISBN : 978-987-627-179-0,C,CUSPIDE Libros S.A.
288,2/22/2010," Salinas, Silvia - Bucay, Jorge",Amarse con los ojos abiertos," Argentina : Ed. Del Nuevo Extremo, 2010 ",ISBN : 978-987-609-204-3,C,CUSPIDE Libros S.A.
290,2/22/2011," Allende, Isabel",Retrato en sepia," Argentina : Ed. Sudamericana, 2010 ",ISBN : 987-1138-89-X,C,CUSPIDE Libros S.A.
292,2/22/2011, QUINO,Mafalda, Argentina : Ed. De La Flor ,,,
294,2/22/2011,," García Márquez, Gabriel",Yo no vengo a decir un discurso," Argentina : Ed. Sudamericana, 2010 ; 151p. ; 23 cm.",,
296,2/22/2011," Galeano, Eduardo",Las venas abiertas de América Latina," Argentina : Ed. Siglo veintiuno, 2010 ",ISBN : 978-987-629-113-2,C,CUSPIDE Libros S.A.
298,2/22/2011," Rowling, J.K.",Harry Potter y la piedra filosofal," España : ed. Salamandra, 2010 ",ISBN : 978- 84-9838-012-5,C,CUSPIDE Libros S.A.
300,2/22/2011,"Rowling, J.K.",Harry Potter y la cámara secreta," España : Ed. Salamandra, 2010 ",ISBN : 978-84-9838-013-2,C,CUSPIDE Libros S.A.
302,2/22/2011, Nik,Gaturro y los piratas del tesoro perdido," Argentina : Ed. Sudamericana, 2010 ",ISBN : 978-950-07-3179-8,C,CUSPIDE Libros S.A.
303,2/22/2011, Nik,Gaturro y la noche de los vampiros," Argentina : Ed. Sudamericana, 2010 ",ISBN : 978-950-07-3257-4,C,CUSPIDE Libros S.A.
304,2/22/2011," Allende, Isabel",Mi país inventado," Argentina : Ed. Sudamericana, 2009 ",ISBN : 987-1138-68-7,C,CUSPIDE Libros S.A.
306,2/22/2011," Armstrong, Lance",Mi vuelta a la vida," Argentina : Ed. Del Nuevo Extremo, 2010 ",ISBN : 978-987-609-247-0,C,CUSPIDE Libros S.A.
308,2/22/2011," Saint -Exupery, Antoine",El Principito," Argentina : Emecé, 2010 : il. ",ISBN : 978-950-04-2640-4,C,CUSPIDE Libros S.A.
310,2/22/2011, Nik,Gaturro y la noche de los vampiros," Argentina : Ed. Sudemaricana, 2010 ",ISBN : 978-950-07-3257-4,C,CUSPIDE Libros S.A.
311,2/22/2011, Nik,Gaturro y los piratas del tesoro perdido," Argentina : Ed. Sudamericana, 2010 ",ISBN : 978-950-07-3176-8 ,C,CUSPIDE Libros S.A.
312,2/22/2011," Lambert, Alibel","Argentina : Ed. Maya, 2010 ; 60 p. 19 cm.",ISBN : 978-987-25986-1-7,,,
315,2/22/2011,"Schreiber, Jürgen",La mujer que vengó al Che Guevara," Argentina : Ed. Capital Intelectual, 2010 ",ISBN: 978-987-614-226-7,C,CUSPIDE Libros S.A.
316,2/22/2011," Hosseini, Khaled",Cometas en el cielo," España : Ed. Salamandra, 2003 ",ISBN : 978-84-9838-317-1,C,CUSPIDE Libros S.A.
317,2/22/2011," Rolón, Gabriel",Los padecientes," Argentina : Ed. Emecé, 2010 ",ISBN : 978-950-04-3287-0,C,CUSPIDE Libros S.A.
318,2/22/2011," Aguinis, Marcos",La matriz del infierno," Argentina : Ed. Sudamericana, 2009 ",ISBN : 978-950-07-3117-1,C,CUSPIDE Libros S.A.
320,2/22/2011," Allende, Isabel",El plan infinito," Argentina : Ed. Sudamericana, 2004 ",ISBN : 950-07-1839-1,C,CUSPIDE Libros S.A.
322,2/22/2011," Allende, Isabel",Cuentos de Eva Luna," Argentina : Ed. Sudamericana, 2008 ",ISBN : 987-1138-84-9,C,CUSPIDE Libros S.A.
324,2/22/2011," Allende, isabel",Eva Luna," Argentina : Ed. Sudamericana, 2008 ",ISBN : 987-1138-87-3,C,CUSPIDE Libros S.A.
326,2/22/2011," Allende, Isabel",La casa de los espíritus," Argentina : Ed. Sudamericana, 2010 ",ISBN : 987-1138-90-3,C,CUSPIDE Libros S.A.
328,2/22/2011," Meyer, Stephenie",Amanecer," Argentina : Ed. Alfaguara, 2010 ",ISBN : 978-987-04-1090-4,C,CUSPIDE Libros S.A.
329,2/22/2001," Meyer, Stephenie",Luna nueva," Argentina : Ed. Alfaguara, 2009 ",ISBN : 978-987-04-0678-5,C,CUSPIDE Libros S.A.
330,2/22/2011, Argentina Códigos,Código Penal," Argentina : Ed. ZAVALIA, 2010 ",ISBN : 978-950-572-819-0,C,CUSPIDE Libros S.A.
331,2/22/2011, Argentina Códigos,Código Civil y Comercial de la Nación," Argentina : Ed. ZAVALIA,2010 ",isbn : 978-950-572-822-0,C,CUSPIDE Libros S.A.
332,2/22/2011," Montes, Graciela Silvia",La batalla de los monstruos y las hadas," Argentina : Ed. Alfaguara, 2010 ",ISBN : 978-987-04-0068-4,C  ,CUSPIDE Libros S.A.
334,2/22/2011," Capusotto, Diego - Saborido, Pedro",Peter Capusotto," Argentina : Ed. Sudamericana, 2010 ",ISBN : 978-950-07-3156-0,C,CUSPIDE Libros S.A.
336,2/22/2010," Paz, Carlos",Efemérides Literarias Argentinas," Argentina : Ed. Caligraf, 1999 ",ISBN : 987-97280-1-7,C,CUSPIDE Libros S.A.
337,2/22/2011," Forn, Juan y Otros",La guerra de Malvinas (Argentina 1982)," Argentina : Ed. Biblos, 2007 ",ISBN : 978-950-786-604-3,C,CUSPIDE Libros S.A.
338,2/22/2011," Feinmann, José Pablo",Timote Secuestro y muerte del General Aramburu," Argentina : Ed. Planeta, 2009 ",ISBN :  978-950-49-2009-0,C ,CUSPIDE Libros S.A.
340,2/22/2011," Pigna, Felipe", Los Mitos de la Historia Argentina," Argentina : Ed. Booket, 201 ",ISBN : 978-987-580-409-8,C,CUSPIDE Libros S.A.
341,2/22/2011," Forn, Juan y Otros",La guerra de Malvinas (Argentina 1982),"Argentina : Ed. Biblos, 2007 ",ISBN : 978-950-786-604-3,C,CUSPIDE Libros S.A.
342,2/22/2011," Lanata, jorge",Polaroides," Argentina : Ed. Punto de Lectura, 2007 ",ISBN : 978-987-578-058-3,C,CUSPIDE Libros S.A.
344,2/22/2011," Soriano, Osvaldo","Reveldes, soñadores y fugitivos"," Argentina : Ed. Booket, 2008 ",ISBN : 978-987-580-262-9,C,CUSPIDE Libros S.A.
346,2/22/2011," Soriano, Osvaldo",No habrá más penas ni olvido," Argentina : Ed. Booket, 2010 ",ISBN : 978-987-580-214-8,C,CUSPIDE Libros S.A.
348,2/22/2011," Bucay, Jorge",El elefante encadenado," España : Ed. Del Nuevo Extremo, 2008 ",ISBN : 978-987-609-113-8,C,CUSPIDE Libros S.A.
349,2/22/2011," Luna, Félix",Historia integral de la Argentina Tomo 2," Argentina : Ed. Booket, 2009 ",ISBN : 978-987-580-313-8,C,LIB. KLAXIKA
350,2/22/2011," Luna, Félix",Histria integral de la Argentina," Argentina : Ed. Booket, 2009 ",ISBN : 978-987-580-307-7,C,LIB. KLAXIKA
351,2/22/2011," de Vasconcelos, José Mauro",Mi planta naranja-lima," Argentina : Ed. El Ateneo, 2010 ",ISBN : 978-950-02-0444-6,C,LIB. KLAXIKA
353,2/22/2011," Carrizo De La Canal, Gustavo ",DINOSAURIOS gigantes de la Prehistoria," Argentina : Ed. Guadal, 2009 ",ISBN : 978-987-579-733-8,C,CUSPIDE Libros S.A.
354,2/22/2011," de Vasconcelos, José Mauro",Mi planta naranja-lima," Argentina : Ed. El Ateneo, 2010 ",ISBN : 978-950-02-0444-6,C,LIB. KLAXIKA
356,2/22/2011," de Vasconcelos, José Mauro",Vamos a calentar el sol," Argentina : Ed. El Ateneo, 2010 ",ISBN : 978-950-02-8539-1,C,LIB. KLAXIKA
357,2/22/2011," Luna, Félix", Historia integral de la Argentina secreta Tomo 3," Argentina : Ed. Booket, 2009 ",ISBN : 978-987-580-322-0,C,LIB. KLAXIKA
358,2/22/2011," Freire, Paulo",La importancia de leer y el proceso de liberación," Argentina : Ed. Siglo Veintiuno, 2008 ",ISBN : 978-968-23-1593-0,C,LIB. KLAXIKA
359,2/22/2011," Kipling, Rudyard",Historias presisamente así," Argentina : Ed. Comunicate, 2010 ",ISBN : 978-987-602-115-9,C,LIB. KLAXIKA
360,2/22/2011," Castelain-Meunier, Chiristine","Padres, Mdres, Hijos"," Argentina : Ed. Siglo Veintiuno, 1998il. ",ISBN : 968-23-2428-9,C,LIB. KLAXIKA
361,2/22/2011," Civale, Cristina",Niños lejos de Disneylandia," Argentina : Ed. Planeta, 2006 ",ISBN : 950-49-1559-0,C,LIB. KLAXIKA
362,2/22/2011," Carbajal, Mariana",El aborto en debate,"  Argentina : Ed. Paidón, 2009 ",ISBN : 978-950-12-4555-4,C,LIB. KLAXIKA
363,2/22/2011," Rey, María Esther",Didáctica de la matemática   Primer Ciclo," Argentina : Ed. Magisterio del Río de La Plata, 2006 ",                     il. ; 189 p. ; 24 cm.,,
364,2/22/2011," Archanco, Pamela",Atrapafaltas  Ortografía 4," Argentina : Ed. Tinta Fresca, 2008 ",ISBN : 978-987-576-268-8,C,LIB. KLAXIKA
365,2/22/2011," Archanco, Pamela",Atrapafaltas   Ortografía 5," Argentina : Ed. Tinta Fresca, 2010 ",ISBN : 978-987-576-269-5,C,LIB. KLAXIKA
366,2/22/2011," Freire, Paulo",La educación como practica de la libertad," Argentina : Ed. Siglo Veintiuno, 2009 ",ISBN : 978-987-629-021-0,C,LIB. KLAXIKA
367,2/22/2011," Romero, Luis Alberto",La crisis argentina Una mirada al siglo XX," Argentina : Ed. Siglo Veintiuno, 2003 ",ISBN : 987-1105-50-9,C,LIB. KLAXIKA
368,2/22/2011," Bayer, Osvaldo",La Patagonia rebelde," Argentina : Ed. Booket, 2007 ",ISBN : 978-987-1144-72-3,C,LIB. KLAXIKA
369,2/22/2011," de Vasconcelos, José Mauro",Vamos a calentar el sol," Argentina : Ed. El Ateneo, 2010 ",ISBN : 978-950-02-8539-1,C,LIB. KLAXIKA
370,2/22/2011," Delgado, Josefina",Alfonsina Storni  Una Biografía esencial," Argentina : Ed. Sudamericana, 2010 ",ISBN : 978-987-566-9,C,LIB. KLAXIKA
371,2/22/2011," Macri, Mariela y Otros",El trabajo infantil no es juego," Argentina : Ed. La Crujía, 2005 ",ISBN : 987-1004-91-5,C,LIB. KLAXIKA
372,2/22/2011," de Vasconcelos, José Mauro",Vamos a calentar el sol," Argentina : Ed. El Ateneo, 2010 ",ISBN : 978-950-02-8539-1,C,LIB. KLAXIKA
375,2/22/2011," Preisz, Carlos Oscar",Pelajes del caballo," Argentina : Ed. Albatros, 2010 ",ISBN : 978-950-24-1280-1,C,LIB. KLAXIKA
376,2/22/2011," Vaca, Pablo",Aperos criollos," Argentina : Ediciones B, 2006 ",ISBN : 987-1222-36-X,C,LIB. KLAXIKA
377,2/22/2011," Delgado, María Angélica y Otros",Lengua 4 ideas en la cabeza," Argentina : Ed. Santillana, 2004 ",ISBN : 950-46-1456-6,C,LIB. KLAXIKA
378,2/22/2011," Delgado, María Angélica y Otros",Lengua 5 ideas en la cabeza," Argentina : Ed. Santillana, 2004 ",ISBN : 950-46-1435-3,C,LIB. KLAXIKA
379,2/22/2011," Andrés, Marina E. y Otros",Matemática 5 ideas en la cabeza," Argentina : Ed. Santillana, 2004 ",ISBN : 950-46-1441-8,C,LIB. KLAXIKA
380,2/22/2011," Fariña, Mabel B. y Otros",Ciencias Sociales ideas en la cabeza," Argentina : Ed. Santillana, 2004 ",ISBN : 950-46-1439-6,C,LIB. KLAXIKA
381,2/22/2011, Ediciones Banco Velox ,Pintura Argentina Candido López  CUADERNO 2," Argentina : Ed. Grupo Velox, 2001 ",ISBN : 987-1010-02-8,C,LIB. KLAXIKA
382,2/22/2011, Ediciones Banco Velox,Pintura Argentina Quinquela y Victoria  CUADERNO 3," Argentina : Ed. Grupo Velox, 2001 : il. ",ISBN : 987-1010-01-X,C,LIB. KLAXIKA
383,2/22/2011, Ediciones Banco Velox,Pintura Argentina Expresiones Metafísicas CUADERNO 5," Argentiona : Ed. Grupo Velox, 2001 ",ISBN : 987-1010-03-6,C,LIB. KLAXIKA
384,2/22/2011, Ediciones Banco Velox,Pintura Argentina Spilimbergo y Guttero CUADERNO 6," Argentina :  Ed Grupo Velox, 2001 ",ISBN : 987-1010-13-3,C,LIB. KLAXIKA
385,2/22/2011, Ediciones Banco Velox,Pintura Argentina Precursores II CUADERNO 7," Argentina : Ed. Grupo Velox, 2001 ",ISBN : 987-1010-06-0,C,LIB. KLAXIKA
386,2/22/2011, Ediciones Banco Velox,Pintura Argentina Nueva GeneraCIóN CUADERNO 8," Argentina : Ed. Grupo velox, 2001 ",ISBN : 987-1010-18-4,C,LIB. KLAXIKA
387,2/22/2011, Ediciones Banco Velox,Pintura Argentina Pintores de la Boca II CUADERNO 12,"Argentina : Ed. Grupo Velox, 2001 ",ISBN : 987-1010-15-X,C,LIB. KLAXIKA
388,2/22/2011, Equipo TIKAL,Los Aztecas," España : Ed. Susaeta,  ",,,
389,2/22/2011, Equipo Tikal,Los Incas," España : Ed. Susaeta, ",,,
390,2/22/2001,"  Quiroga, Horacio",Cuentos de la Selva," Argentina : Ed. Beeme, 2008 : 125 p. : 19 cm.",ISBN : 978-987-24256-8-5,C,LIB. KLAXIKA
400,2/22/2011," Lejarraga, Horacio",Desarrollo del niño en contesto," Argentina : Ed. Paidós, 2008 ",ISBN : 978-950-12-4524-0,C,LIB. KLAXIKA
401,2/22/2011," Wilde, Oscar",El fantasma de Canterville," Argentina : Ed. Beeme, 2008 ",ISBN : 978-987-24256-9-2,C,LIB. KLAXIKA
405,2/22/2011," Di Meglio, Gabriel",¡Viva el bajo pueblo!," Argentina : Ed. Prometeo, 2007 ",ISBN : 987-574-103-5,C,LIB. KLAXIKA
406,2/22/2011," Wilde, Oscar",El fantasma de Caterville," Argentina : Ed. Beeme, 2008 ",ISBN : 978--987-24256-9-2,C,LIB. KLAXIKA
412,2/22/2011," Halperín Donghi, Tulio",La República imposible (1930 - 1945)," Argentina : Ed. Emecé, 2007 ",ISBN : 978-950-04-2940-5,C,LIB. KLAXIKA
413,2/22/2011," Chiaramonte, José Carlos","Ciudades, Provincias, Estados: Orígenes de la Nación Argentina.","Argentina : Ed. Emecé, 2007 ",ISBN : 978-950-04-2861-3,C,LIB. KLAXIKA
414,2/22/2011," de Vasconcelos, José Mauro",Vamos a calentar el sol," Argentina : Ed. El Ateneo, 2010 ",ISBN : 978-950-02-8539-4,C,LIB. KLAXIKA
415,2/22/2011," de Vasconcelos, José Mauro",Mi planta naranja-lima," Argentina : Ed. El Ateneo, 2010 ",ISBN : 978-950-02-0444-6,C,LIB. KLAXIKA
416,2/22/2011," Frank, Anne",El diario de Ana Frank," Argentina : Ed. Beema, 2009 ",ISBN : 978-987-1594-31-3,C,LIB. KLAXIKA
417,2/22/2011," Buchbinder, Pablo",Historia de las Universidades Argentinas," Argentina : Ed. Sudamericana, 2010 ",ISBN : 978-950-07-3236-9,C,LIB. KLAXIKA
418,4/12/2011," Martin, Gerald","Gabriel García Márquez, Una vida"," Argentina : Ed. Debate, 2009 ",ISBN : 978-987-1117-75-8,C,LIB. EL ATENEO
419,4/12/2011," Aguinis, Marcos",Profanación del amor," Argentina : Ed. Sudamericana, 2009 ",ISBN : 987-950-07-3121-8,C,LIB. EL ATENEO
420,4/12/2011," Theorin, Johan",La tormenta de nieve," Argentina : Ed. Mondadori, 2011 ",ISBN : 978-987-658-070-0,C,LIB. EL ATENEO
421,4/12/2011," Clark, Mary Higgins",Mentiras de sangre," Argentina : Ed. Plaza & Janes, 2011 ",ISBN : 978-950-644-209-5,C,LIB. EL ATENEO
422,4/12/2011," Lamborghini, Osvaldo",Novelas y cuentos II," Argentina : Ed. Mondadori, 2011 ",ISBN : 978-987-658-077-9,C,LIB. EL ATENEO
423,4/12/2011," Rivero, Viviana",Y ellos se fueron," Argentina : Ed. Emecé, 2011 ",ISBN : 978-950-04-3329-7,C,LIB. EL ATENEO
424,4/12/2011," Allende, Isabel",Paula," Argentina : Ed. Sudamericana, 2011 ",ISBN : 987-1138-85-7,C,LIB. EL ATENEO
425,5/19/2011," Sehinkman, Diego",Qué tienen los plíticos en la cabeza?," Argentina : Ed. Javier Vergara, 2011 ",ISBN : 978-950-15-2505-2,C,LIB. EL ATENEO
426,5/19/2011," Caygill, Howard - Coles, Alex  y  Klimowski, Andrzej",Walter Benjamin Para principiantes," Argentina : Ed. Era Naciente, 2007 : il. : 178 p. ",ISBN : 978-987-9065-86-0,C,LIB. EL ATENEO
427,5/19/2011," Leader, Darian - Groves, Judy",Lacan Para principiantes," Argentina : Ed. Era Naciente, 2010 : il. ",ISBN : 978-987-9065-22-8,C,LIB. EL ATENEO
