Nº,Autor,Título,Editorial,ISBN
459," Grisham, John",La apelación," Argentina : Ed. Sudamericana, 2011 ; 471 p. ; 18 cm.",ISBN : 978-987-566-695-5
460," L. G. Wadw, J. R.",Química orgánica  5º Edición," España : Ed. Pearson, 2004 ; il. ; 1220 p. 26 cm.",ISBN : 978-84-205-4102-0
461," Chang, Raymond",Química  10º Edición - CHANG,"Argentina : Ed. McGrawHill, 2010 ; il. ; 1085 p. ; 27 cm.",ISBN : 978-607-15-0307-7
462, Colección Diamante,La Sirenita," Argentina : Ed. Libertador, 2010 ; il, ; 18 cm.",ISBN ; 978-84-662-1809-2
470,La Sirenita," Argentina : Ed. Libertador, 2010 ; il, ; 18 cm.",ISBN ; 978-84-662-1809-2,nan
471, Colección Diamante,Los Músicos de Bremen," Argentina : Ed.Libertador, 2010 ; il. ; 18 cm.",ISBN : 978-84-662-1804-7
475,Los Músicos de Bremen," Argentina : Ed.Libertador, 2010 ; il. ; 18 cm.",ISBN : 978-84-662-1804-7,nan
476, Colección Platino,Blancanieves y los siete enenitos," Argentina : Ed. Libertador, 2010 ; il. ; 18 cm.",ISBN : 978-84-7630-967-4
484,Blancanieves y los siete enenitos," Argentina : Ed. Libertador, 2010 ; il. ; 18 cm.",ISBN : 978-84-7630-967-4,nan
485, Colección Platino,Los tres Cerditos," Argentina : Ed. Libertador, 2010 ; il. ; 18 cm.",ISBN : 978-84-7630-968-1
490,Los tres Cerditos," Argentina : Ed. Libertador, 2010 ; il. ; 18 cm.",ISBN : 978-84-7630-968-1,nan
491," Savater, Fernando",Las preguntas de la vida," España : Ed. Ariel S.A., 1999 ; 286 p. ; 23 cm.",ISBN : 950-9122-62-9
492," Savater, Fernando",Política para Amador," España : Ed- Ariel S.A., 1996 ; 233 p. ; 20 cm.",ISBN : 950-9122-03-3
493," Coelho, Paulo",El Alquinista," Argentina : Ed. Planeta, 2000 ; 22 cm.",ISBN : 950-742-895-X
494," Vargas Llosa, Mario",Manual del perfecto idiota," Argentina : Ed. Atlántida, 1996 ; 318 p. ; 21 cm.",ISBN : 950-08-1638-5
495," Kovadloff, Santiago",Una Biografía de la lluvia," Argentina : Ed. Booket, 2006 ; 204 p. ; 17 cm.",ISBN : 987-580-089-9
496, SERVILIBRO,La sirenita," España : Ed. SERVILIBRO,  ; il. ; 28 cm.",ISBN : 84-7971-601-0
497, SERVILIBRO,Pinocho," España: Ed. SERVILIBRO, ; il. ; 28 cm.",ISBN : 84-7971-595-2
498, SERVILIBRO,Peter Pan," España: Ed. SERVILIBRO, ; il. ; 28 cm.",ISBN : 84-7971-600-2
499, Universidad Nacional de Entre Ríos,Patria de Luz Cuentos y Poemas TomoII," Argentina : Ed. EDUNER, 1998 ; 176 p. ; 19 cm.",ISBN : 950698-060-8
500," Britos, Orlando","Los Pueblos de Entre Ríos su actualidad, su historia"," Argentina : Delta Impresora,2010 ; il. ; 316 p. ; 29 cm.",ISBN : 978-987-05-9788-9
501,"Los Pueblos de Entre Ríos su actualidad, su historia"," Argentina : Delta Impresora,2010 ; il. ; 316 p. ; 29 cm.",ISBN : 978-987-05-9788-9,nan
502," Ferrari, Andrea",El complot de las flores," Argentina : Ed. SM, 2003 ; 137 p. ; 18 cm.",ISBN : 978-987-1098-23-1
503," Huidobro, Norma",Octubre un crimen," Argentina : Ediciones SM, 2004 ; 201 p. ; 18 cm.",ISBN : 978-987-573-002-1
504," Hodgson Burnett, Frances",El pequeño lord," Argentina : Ed. Atlántida,  1991 ; 204 p. ; 18 cm.",ISBN : 950-08-1956-2
505,El pequeño lord," Argentina : Ed. Atlántida,  1991 ; 204 p. ; 18 cm.",ISBN : 950-08-1956-2,nan
506," Paenza, Adrián",Matemática… ¿estás ahí?," Argentina : Ed. Siglo Veintiuno,  2005 ; il. ; 235 p. ; 20 cm.",ISBN : 978-987-1220-19-9
507," Golombek, Diego - Schwarzbaum, Pablo",El cocinero científico," Argentina : Ed. Siglo Veintiuno, 2007 ; il. ;  238 p. ; 20 cm.",ISBN : 978-987-1220-92-2
508," Alonso, Daniel",El desafío del cangrejo," Argentina : Ed. Siglo Veintiuno, 2010 ; il. ; 126 p. ; 20 cm.",ISBN : 978-987-629-100-2
509," Edelsztein, Valeria",Los remedios de la abuela," Argentina : Ed. Siglo Veintiuno, 2011 ; il. ; 130 p. ; 20 cm.",ISBN : 978-987-629-179-8
510," Golombek, Diego",Demoliendo papers," Argentina : Ed. Siglo Veintiuno, 2005 ; il. ; 147 p. ; 20 cm.",ISBN : 978-987-1220-08-3
511, Calvo Juan Carlos,¡Qué porquería las hormonas!," Argentina :Ed. Siglo Veintiuno, 2011 ; il. ; 122 p. ; 20 cm.",ISBN : 978-987-629-166-8
512," Paenza, Adrán",Matemática… ¿estás ahí?," Argentina : Ed. Siglo Veintiuno, 2007 ; il. ; 237 p. ; 20 cm.",ISBN : 978-987-629-017-3
513," Abramson, Guillermo",Viaje a las estrellas," Argentina : ed. Siglo Veintiuno, 2010 ; il. ; 127 p. ; 20 cm.",ISBN : 9978-987-629-133-0
514," Alzogaray, Raúl",El elixir de la muerte," Argentina : Ed. Siglo Veintiuno, 2007 ; il. ; 127 p. ; 20 cm.",ISBN : 978-987-1220-91-5
515," Calcagno, Javier - Lovrich, Gustavo",El mar," Argentina : Ed. Siglo Veintiuno,2007 ; il. ; 134 p. ; 20 cm.",ISBN : 978-987-1220-67-0
516," Gellon, Gabriel",Había una vez el átomo," Argentina : Ed. Siglo Veintiuno, 2007 ; il. 240 p. ; 20 cm.",ISBN : 978-987-1220-93-9
517," Rebeur, Ana Von",La ciencia del color," Argentina : Ed. Siglo Veintiuno, 2010 ; il. ; 126 p. ; 20 cm.",ISBN : 978-987-629-147-7
518," Rosenvasser Fehr, Elsa",Cielito lindo," Argentina : Ed. Siglo Veintiuno, 2004 ; il. ; 116 p. 20 cm.",ISBN : 978-987-1105-91-5
519," Lozano, Mario",Ahí viene la plaga," Argentina : Ed. Siglo Veintiuno, 2004 ; il. ; 126 p. ; 20 cm.",ISBN : 978-987-1105-69-4
520," Di Ganova, Facundo",El barman científico," Argentina : Ed. Siglo Veintiuno, 2011 ; il. ; 238 p. ; 20 cm.",ISBN : 978-987-629-170-5
521," Rossi, María Susana - Levin, Luciano",Qué es (y qué no es) la evolución," Argentina : Ed. Siglo Veintiuno, 2006 ; il. ; 136 p. ; 20 cm.",ISBN : 978-987-1220-52-6
522," Wall, Luis G.","Plantas, bacterias, hongos, mi mujer, el cocinero",y sus amantes," Argentina : ed. Siglo Veitiuno, 2005 ; il. ; 114 p. ; 20 cm."
523," Rojo, Alberto",La Física en la vida cotidiana," Argentina : ed. Siglo Veintiuno, 2007 ; il. 220 p. ; 20 cm.",ISBN : 978-987-1220-81-6
524," Amster, Pablo",La Matemática como un de las bellas artes," Argentina : Ed. Siglo Veintiuno, 2004 ; il. ; 127 p. ; 20 cm.",ISBN : 978-987-1105-92-2
525," Paenza, Adrián",Matemática… ¿estás ahí?," Argentina : Ed. Siglo Veintiuno, 2010 ; il. ; 222p. ; 20 cm.",ISBN : 978-987-629-122-4
526," Paenza, Adrián",Matmática… ¿estás ahí?," Argentina : Ed. Siglo Veintiuno, 2006 ; il. ; 237 p. ; 20 cm.",ISBN : 978-987-1220-64-9
527," Golombek, Diego","Sexo, drogas y biología"," Argentina : Ed. Siglo Veintiuno, 2006 ; il. ; 134 p. ; 20 cm.",ISBN : 978-987-1220-70-0
528," De Ambrosio, Martín",El deprotista científico," Argentina : Ed. Siglo Veintiuno, 2009 ; il. ; 123p. ; 20 cm.",ISBN : 978-987-629-082-1
529,"  Alzogaray, Raúl",Una tumba para los romanov," Argentina : Ed. Siglo Veitiuni, 2004 ; il. ; 125 p. ; 20 cm.",ISBN : 978-987-1105-68-7
530," Díaz, Alberto",Bio.. ¿qué?," Argentina : Ed. Siglo Veintiuno, 2005 ; il. ; 127 p. ; 20 cm.",ISBN : 978-987-1220-29-8
531,"  Plata Rosas, Javier Luis",Un científico en el museo de arte moderno," Argentina : Ed. Siglo Veintiuno, 2011 ; il. ; 168 p. ; 20 cm.",ISBN : 978-987-629-197-2
532," Arbiser, Ariel",El jugador científico," Argentina : Ed. Siglo Veitiuno, 2011 ; il. ; 143 p. ; 20 cm.",ISBN : 978-987-629-161-3
533," Amster, Pablo","¡Matemática, maestro!"," Argentina : Ed. Siglo Veitiuno, 2010 ; il. ; 126 p. ; 20 cm.",ISBN : 987-978-629-143-9
534," Nepote, Juan",Científicos en el ring," Argentina : Ed. Siglo Veintiuno, 2011 ; il. ; 120 p. ; 20 cm.",ISBN : 978-987-629-190-3
535, Anónimo,Las mil y una noches  I," Argentina : Ed. Longseller, 2010 ;  535 p. ; 21 cm.",ISBN : 978-987-550-607-7
536, Anónimo II,Las mil y una noches," Argentina : Ed. Longseller, 2010 ; 444 p. 21 cm.",ISBN :  978-987-550-605-3
537, Anónimo III,Las mil y una noches," Argentina : Ed. Longseller, 2010 ;   581 p. ; 21 cm.                                                                                                                                         ",ISBN : 978-987-550-607-7
538, Anónimo IV,Las mil y una noches," Argentina : Ed. Langseller, 2010 ; 684 p. ; 21 cm.",ISBN: 978-987-550-607-7
539, Borges Jorge Luis,Obras completas I 1923 - 1949," Argentina : Ed. Emecé, 2010 ; 758 p. ; 19 cm.",ISBN: 978-950-04-3302-0
540,Obras completas I 1923 - 1949," Argentina : Ed. Emecé, 2010 ; 758 p. ; 19 cm.",ISBN: 978-950-04-3302-0,nan
541," Beckett, Samuel",Esperando a Godot (Taetro)," Argentina : .ed. Tusquets, 2010 ; 155 p. ; 19 cm.",ISBN : 978-950-977979-2
542, Sófocles,Edipo rey Antígona," Argentina : Ed. Lognseller,2010 ; il. ; 159 p. ; 19 cm.",ISBN : 978-987-550-877-4
543," Mallea, Eduardo",La vida blanca," Argentina : Ed. Corregidor, 2010 ; 110 p. 19 cm.",ISBN : 978-950-05-1701-0
544," Balzac, Homoré de",La obra maestra desconocida," Argentina : Ed.Talleres Gráficos, 2010 ; 91 p. ; 19 cm.",ISBN : 978-987-26418-0-1
545, Lope de Vega,Fuente Ovejuna," Argentina : Ed. ANAYA, 2010 , il. ; 142 p. ; 19 cm.",ISBN : 978-84-207-4355-4
546," Bioy Casares, Adolfo",La invención de Morel,"Argentina : Ed. Colihue,2010 ; il. ; 139 p. ; 17 cm.",ISBN : 978-950-581-052-9
547," Dolina, Alejandro",Crónica del Angel gris," Argentina : Ed. Colihue, 2010 ; il. ; 273 p. ; 21 cm.",ISBN : 978-950-581-270-7
548," Melville, Herman",Moby Dick o La ballena blanca,"Argentina : Ed. Sudamericana, 2010 ; 702 p. ; 20 cm.",ISBN : 978-987-566-281-0
549," Saramagno, Jos♪0",Ensayo sobre la ceguera ," Argentina : Ed. Alfaguara, 2010 ; 373 p. ; 21 cm.",ISBN : 978-987-04-1681-4
550," Borges, Jorge Luis",Obras Completas II 1952 - 1972," Argentina : Ed. Emecé, 2010 ; 597 p. ; 19 cm.",ISBN : 978-950-04-3303-7
551," Borges, Jorge Luis",Obras Completas III 1975 - 1985," Argentina : Ed. Emecé, 2010 ; 594 p. ; 19 cm.",ISBN : 978-950-04-3304-4
552," Dostoievski, Fedor",Crimen y castigo," Argentina : Ed. Longseller, 2010 ; 592 p. ; 21 cm.",ISBN : 978-987-550-437-0
553," Dumas, Alexandre",El Conde de Montecristo  TOMO 1," Argentina : Ed. ANAYA, 2010 ;  512 p. ; 21 cm.",ISBN : 978-84-667-1743-4
554," Dumas, Alexandre ",El Conde de Montecristo TOMO 2," Argentina : Ed. ANAYA, 2010 ; il. ; 1064 p. ; 21 Cm",ISBN : 978-84-667-1743-4
555," Dicépolo, Armando",Babilonia," Argentina : Ed. Talleres Gráficos DEL, 2010 ; 95 p. 19 cm.",ISBN : 978-987-26418-2-5
556," Valenzuela, Luisa",Cuentos completos y unoi más," Argentina : Ed. ALFAGUARA, 2010 ; 526 p. ; 23 cm. ",ISBN : 978-987-04-1684-5
557," Spiegelman, Art", MAUS Historia de un sobreviviente," Argentina : Ed. EMECE, 2010 ; il. ; 135 p. ; 22 cm.",ISBN : 978-950-04-3318-1
558," Stugeon, Theodore",Más que humano," Argentina : Ed. Minotauro, 2010 ; 261 p. 21 cm.",ISBN : 978-950-547-147-8
559," Puig, Manuel",El beso de la mujer araña," Argentina : Ed. Emecé, 2010 ; 245 p. ; 21 cm.",ISBN : 978-950-04-3319-8
560," Discépolo, Armando ",El grotesco criollo," Argentina : Ed. Colihue, 2010 ; il. ; 209 p. ; 17 cm.",ISBN : 978-950-563-661-7
561," Sartre, Jean-Paul",La suerte esta echada El engranaje," Argentina : Ed. Losada, 2010 ; 319 p. ; 17 cm.",ISBN : 978-950-03-0311-8
562," Shelley, Mary W.",Frankenstein," Argentina : Ed. Logseller, 2010 ; 317 p. ; 17 cm",ISBN : 978-987-550-704-3
563," Racine, Jean",Fedra," Argentina : Ed. Estrada, 2010 ; il. ; 93 p. ; 18 cm",ISBN : 978-950-01-0974-1
564," H. G. Oesterheld, Héctor y López, Solano",EL ETERNAUTA," Argentina : Ed. Gráfica Pinter, 2010 ; il. ; 352 p. ; 17 cm. ",ISBN : 978-987-26408-0-4
565," Saavedra, Guillermo",Cuentos de Escritoras Argentinas," Argentina : Ed. Alfaguera, 2010 ; 236 p. ; 23 cm.",ISBN : 978-987-04-1683-8
566, QUINO,Toda Mafalda Tomo 1," Argentina : Ed. De La Flor, 2010 ; il. ; 327 p. ; 30 cm.",ISBN : 978-950-515-316-9
567, QUINO,Toda Mafalda Tomo 2," Argentina : Ed. De La Flor, 2010 ; il. ; 330 p. ; 30 cm.",ISBN : 978-950-515317-9
568," Buzatti, Dino",Los siete mansajeros y otros relatos," Argentina : Ed. Alianza, 2010 ; 219 p. ; 19 cm.",ISBN : 978-950-40-0199-7
569,Los siete mansajeros y otros relatos," Argentina : Ed. Alianza, 2010 ; 219 p. ; 19 cm.",ISBN : 978-950-40-0199-7,nan
570," Borges, Jorge - Bioy Casares, Adolfo - Ocampo, Silvina",Antología de la Literatura fantástica," Argentina : Ed. Sudamericana, 2010 ; 407 p. ; 20 cm.",ISBN : 950-07-0587-7
571,Antología de la Literatura fantástica," Argentina : Ed. Sudamericana, 2010 ; 407 p. ; 20 cm.",ISBN : 950-07-0587-7,nan
572," Carpentier, Alejo",Guerra del tiempo y otros relatos," Argentina : Ed. Alianza, 2010 ; 194 p. ; 19 cm.",ISBN : 978-950-40-0200-0
573,Guerra del tiempo y otros relatos," Argentina : Ed. Alianza, 2010 ; 194 p. ; 19 cm.",ISBN : 978-950-40-0200-0,nan
574," Walsh, Rodolfo","""Operación Masacre"""," Argentina : Ed. De La Flor, 2010 ; 236 p. ; 19 cm.",ISBN : 978-950-515-352-7
575,"""Operación Masacre"""," Argentina : Ed. De La Flor, 2010 ; 236 p. ; 19 cm.",ISBN : 978-950-515-352-7,nan
576," Spiegelman, Art",MAUS Historia de un sobreviviente," Argentina : Ed. Emecé, 2010 ; il. ; 135 p. ; 22 cm.",ISBN : 978-950-04-3318-1
577," Spiegelman, Art",MAUS Historia de un sobreviviente," Agentina : Ed. Emecé, 2010 ; il. ; 159 p. 22 cm.",ISBN : 978-950-04-3317-4
578," Orwell, George",1984   Parte primera," Argentina : Ed. Destino, 2010 ; 328 p. ; 21 cm. ",ISBN : 987-950-04-3320-4
579,1984   Parte primera," Argentina : Ed. Destino, 2010 ; 328 p. ; 21 cm. ",ISBN : 987-950-04-3320-4,nan
580," Cortázar, Julio",Cuentos completos/1 (1945 - 1966)," Argentina : Ed. Alfaguara, 2010 ; 614 p. ; 24 cm.",ISBN : 978-987-04-1685-2
581," Cortázar, Julio",Cuentos completos/2 (1969 - 1982),"Argentina : Ed. Alfaguara, 2010 ; 518 p. ; 24 cm.",ISBN : 978-987-04-1686-9
582," Gutiérrez, Eduardo",Juan Moreira (versión completa)," Argentina : Ed. Lognseller, 2010 ; 380 p. ; 17 cm.",ISBN : 978-987-550-702-9
583,Juan Moreira (versión completa)," Argentina : Ed. Lognseller, 2010 ; 380 p. ; 17 cm.",ISBN : 978-987-550-702-9,nan
584," Mansilla, Lucio V.",Una excursión a los Indios Ranqueles (I)," Argentina : Ed. Longseller, 2010 ; 317 p. ; 17 cm.",ISBN : 978-987-550-681-7
585," Mansilla, Lucio V.",Una excursión a los Indios Ranqueles (II),"Argentina : Ed. Longseller, 2010 ; 286 p. ; 17 cm.",ISBN : 978-987-550-682-4
586, Homero,Odisea," Argentina : Ed. Booket, 2010 ; 414 p. ; 18 cm.",ISBN : 978-980-852-252-8
587,Odisea," Argentina : Ed. Booket, 2010 ; 414 p. ; 18 cm.",ISBN : 978-980-852-252-8,nan
587,nan,nan,nan,nan
588," García Lorca, Federico",La casa de Bernarda Alba," Argentina : Ed. Longseller, 2010 ; 173 p. ; 17 cm.",ISBN : 978-987-550-566-7
589,La casa de Bernarda Alba," Argentina : Ed. Longseller, 2010 ; 173 p. ; 17 cm.",ISBN : 978-987-550-566-7,nan
590, Anónimo,Poema del Cid," Argentina : Ed. Losada, 2010 ; 275 p. ; 17 cm.",ISBN : 978-950-03-0598-3
591,Poema del Cid," Argentina : Ed. Losada, 2010 ; 275 p. ; 17 cm.",ISBN : 978-950-03-0598-3,nan
592," Mansilla, Lucio V..",Una excursión a los Indios Ranquueles (I)," Argentina : Ed. Longseller, 2010 ; 315 p. ; 17 cm.",ISBN : 978-987-550-681-7
593," Mansilla, Lucio V.",Una excursión a los Indios Ranqueles (II)," Argentina : Ed. Longseller, 2010 ; 286 p. ; 17 cm.",ISBN : 978-987-550-683-1
594," Frank, Ana",Diario," Agentina : Ed. Debolsillo, 2010 ; 294 p. ; 20 cm.", ISBN : 987-1138-67-9
595," Fontanarrosa, Roberto",Te digo más …," Argentina : Ed.De La Flor, 2010 ;  312 p. ; 19 cm.",ISBN : 978-950-515-186-8
596,Te digo más …," Argentina : Ed.De La Flor, 2010 ;  312 p. ; 19 cm.",ISBN : 978-950-515-186-8,nan
597," Ocampo, Silvina",Cuentos completos (Volumen I)," Argentina : Ed. Emecé, 2010 ; 347 p. ; 21 cm.",ISBN : 978-950-04-3310-5
598," Ocampo, Silvina",Cuentos completos (Volumen II)," Argentina : Ed. Emecé, 2010 ; 356 p. ; 21 cm.",ISBN : 978-950-04-3311-2
599," Ocampo, Silvina",Cuentos completos (Volumen III)," Argentina : Ed. Emec♪0, 2010 ; 278 p. 21 cm.",ISBN : 978-950-04-3312-9
600," Borges, Jorge Luis",Obras cpmpletas II  1952 - 1972," Argentina : Ed. Emecé, 2010 ; 592 p. ; 19 cm.",ISBN : 978-950-04-3303-7
601," Borges, Jorge Luis",Obras completas IV  1975 - 1988," Argentina : Ed. Emecé, 2010 ; 668 p. ; 19 cm.",ISBN : 978-950-04-3305-4
602,Obras completas IV  1975 - 1988," Argentina : Ed. Emecé, 2010 ; 668 p. ; 19 cm.",ISBN : 978-950-04-3305-4,nan
603," Tolstoi, León",La muerte de Iván Ilich," Argentina : Ed. Longseller, 2010 ; 186 p. ;17 cm.",ISBN : 978-987-550-673-5
604,La muerte de Iván Ilich," Argentina : Ed. Longseller, 2010 ; 186 p. ;17 cm.",ISBN : 978-987-550-673-5,nan
605," García Lorca, Federico",Bodas de sangre," Argentina : Ed. Logseller, 2010 ; 166 p. ; 17 cm.",ISBN : 978-987-550-598-8
606,Bodas de sangre," Argentina : Ed. Logseller, 2010 ; 166 p. ; 17 cm.",ISBN : 978-987-550-598-8,nan
607," Neruda, Pablo",Antología esencial," Argentina : Ed. Losada, 2010 ; 375 p. ; 17 cm.",ISBN : 978-950-03-0253-1
608,Antología esencial," Argentina : Ed. Losada, 2010 ; 375 p. ; 17 cm.",ISBN : 978-950-03-0253-1,nan
609," Guiraldes, Ricardo",Don Segundo Sombra," Argentina : Ed. Logseller, 2010 ; 300 p. 17 cm.",ISBN : 978-987-550-535-3
610,Don Segundo Sombra," Argentina : Ed. Logseller, 2010 ; 300 p. 17 cm.",ISBN : 978-987-550-535-3,nan
611," Brecht, Bertoll",Vida de Galileo," Argentina : Ed. Alianza, 2101 ; 116 p. ; 19 cm.",nan
612," Carrol, Lewis",Alicia en el país de las maravillas," Argentina : ed. Alianza, 2010 ; il. ; 181 p. ; 19 cm.",ISBN : 978-950-40-0260-4
613," Wells, Herbert G.",La máquina del tiempo," Argentina : Ed. Alianza, 2010 ; 132 p. ; 19 cm.",ISBN : 978-950-40-0260-2
614," Quiroga, Horacio",Cuentos escogidos," Argentina : Ed. AIQUE, 2010 ; 90p. ; 19 cm.",ISBN : 978-987-06-0228--6
615," Brecht, Bertolt",Madre coraje y sus hijos ,"Argentina : ed. Alianza, 2010 ; 89 p. ; 19 cm.",ISBN : 978-950-40-0198-0
616," Castillo, Abelardo",Las otras puertas," Argentina : Ed. Emecé, 2010 ;  174 p. ; 21 cm. ; ",ISBN : 978-950-04-3306-8
617," James, Henry",Otra vuelta de tuerca," Argentina : Ed. Longseller, 2010 ; 221 p. ; 17 cm.",ISBN : 978-987-550-754-8
618," Fernandez, Macedonio",Textos selectos," Argentina : Ed. Corregidor, 2010 ; 335 p. ; 19 cm.",ISBN : 978-950-05-1181-0
619," Onetti, Juan Carlos",Cuentos completos (1933 - 1993)," Argentina : Ed. Alfaguara, 2010 ; 393 p. ; 22 cm.",ISBN : 978-987-04-16-87-6
620," Vargas Losa, Mario",La ciudad y los perros," Argentina : Ed. Alfaguara, 2010 ; 483 P. ; 22 cm.",ISBN : 978-987-04-1688-3
621," Tizón, Héctor",Fuego en Casabindo,"Argentina : Ed. Alfaguara, 2010 ; 125 p. ; 21 cm.",ISBN : 978-987-04-1682-1
622," Bradbury, Ray",Crónicas marcianas," Argentina : Ed. Minotauro, 2010 ; 277 p. ; 21 cm.",ISBN : 978-950-547-146-1
623," Tolkien, John Ronald Reuen",El hobbit," Argentina : Ed. Minotauro, 2010 ; il. ; 351 p. ; 21 cm.",ISBN : 978-950-547-148-5
624," Dumas, Alexandre",El Conde de Montecristo TOMO 1," Argentina :  Ed, ANAYA, 2010 ; 507 p. ; 21 cm.",ISBN : 978-84-667-1743-4
625," Dumas, Alezandre",El Conde de Montecristo  TOMO 2," Argentina : Ed. ANAYA, 2010 ; il. ; 1064 p. 21 cm. ",ISBN : 978-84-667-1743-4
626," Sartre, Jean-Paul",La suerte está echada  El engranaje," Argentina : Ed. Losada, 2010 ; 319 p. ; 17 cm-",ISBN : 978-950-03-0311-8
627," Wilde, Oscar",El retrato de Dorian Gray," Argentina : Ed. Alianza, 2010 ; 297 p. ; 19 cm.",ISBN : 978-950-40-0265-9
628," Swift, Jonathan",Los viajes de Gulliver," Argentina : Ed. Alianza, 2010 ; 349 p. 19 cm.",ISBN : 978-950-40-0263-5
629," Arlt, Roberto",El juguete rabioso," Argentina : Ed. Losada, 2010 ; 189 p. 18 cm.",ISBN : 978-950-03-0605-8
630," Dickens, Charles",Canción de navidad," Argentina : Ed. Longseller, 2009 ; il. ; 221 p. ; 19 cm.",ISBN : 978-987-550-881-1
631," Defor, Daniel",Robinson crusoe," Argentina : Ed. ANAYA, 2010 ; il. ; 334 p. ; 20 cm.",ISBN : 976-84-207-1227-7
632," García Marquez, Gabriel",Cien años de soledad," Argentina : Ed. Debolsillo, 2010 ; 494 p. ; 20 cm.",ISBN : 987-1138-14-8
633, Homero,Ilíada," Argentina : Ed. Talleres Gráficos Del, 2010 ; 399 p. ; 19 cm.",ISBN : 978-987-26418-1-8
634," Mujica Lainez, Manuel",Misteriosa Buenos Aires," Argentina : Ed. Debolsillo, 2010 ; 286 p. ; 20 cm.",ISBN : 987-566-100-7
635," Twain, Mark",Las aventuras de Tom Sawyer," Argentina : Ed. Espasa Calpe, 2010 ; 331 p. ; 19 cm.",ISBN : 978-950-852-254-2
636," Puig, Manuel",El beso de la mujer araña," Argentina : Ed. Emecé, 2010 ; 245 p. ; 21 cm.",ISBN : 978-950-04-3319-8
637," Cervantes Saavedra, Miguel de",Don Quijote de la Mancha," Argentina : Ed. Alfaguara, 2010 ; il. ; 395 p. ; 20 cm.",ISBN : 978-987-04-1365-3
638, Saint-Exupéry,El Principito," Argentina : Ed. Emecé, 2010 ; il. ; 109 p. ; 20 cm.",ISBN : 978-950-04-26-40-4
639," Huxley, Aldous",Un mundo feliz," Argentina : Ed. Debolsillo, 2010 ; 254 p. ; 20 cm.",ISBN : 987-1138-51-2
640," Shakespeare, William",Macbeth," Argentina : Ed. Talleres Gráficos DEL, 2010 ; 111p. ; 19 cm.",ISBN : 978-987-264-18-3-2
641," Sabato, Ernesto",Sobre héroes y tumbas," Argentina : Ed. Booket, 2010 ; 508 p. ; 20 cm.",ISBN : 978-950-04-3314-3
642, Moliere,Tartrufo y el misantropo," Argentina : Ed. Espasa-Calpe, 2010 ; 243 p. ; 18 cm.",ISBN : 978-950-852-253-5
643," Nuñez Cabeza de Vaca, Alvar",Naufragios," Argentina : Ed. Alianza, 2010 ; 185 p. ; 19 cm.",ISBN : 978-950-40-0262-8
644," Rulfo, Juan",Pedro Paramo. El llano en llamas," Argentina : Ed. Booket, 2010 ; 316 p. ; 19 cm.",ISBN : 978-987-580-405-0
645," Darío, Rubén",Cuentos de vida y esperanza y otros poemas,"Argentina : Ed. Longseller, 2010 ; 155 p. ; 17 cm.",ISBN : 978-987-550-691-6
646," Jiménez, Juan Ramón",Platero y Yo," Argentina : Ed. Longseller, 2010 ; 167 p. ; 17 cm.",ISBN : 978-987-550-436-3
647," Denevi, Marco",Cuentos selectos," Argentina : Ed. Corregido, 2010 ; 398 p. ; 19 cm.",ISBN : 978-950-05-1111-7
648," Discépolo, Armando",El grotesco criollo," Argentina : Ed. Colihue, 2010 ; il. ; 209 p. ; 17 cm. ",ISBN : 978-950-563-661-7
649," Beckett, Samuel",Esperando a Godot,"Argentina :  Ed. TusQuets, 2010 ; 155 p. ; 18 cm. ",ISBN : 978-950-9779-79-2
650," Verne, Julio",Viaje al centro de la tierra," Arentina : Ed. Alianza, 2010 ; il. ; 310 p. ; 19 cm.",ISBN : 978-950-40-0264-2
651," Monterroso, Augusto",Cuentos," Argentina : Ed. Alianza, 2010 ; 173 p. ; 19 cm.",ISBN : 978-950-40-0204-8
652," Arlt, Robert",Los siete locos," Argentina : Ed. Losada, 2010 ; 349 p. 17 cm.",ISBN : 978-950-03-0620-1
653," Lugones, Leopoldo",Las fuerzas extrañas," Argentina : Ed. AIQUE, 2010 ; 136 p. 18 cm.",ISBN : 978-987-06-0220-0
654," Tizón, Héctor",Fuego en  Casabindo,"Argentina : Ed.Algaguara, 2010 ; 125 p. ; 21 cm.",ISBN : 978-987-04-1682-1
655," Cooper Fenimore, James",El último mochicano, Argentina : Ed. Cátedra. 2010 ; 398 p. ; 20 cm.,ISBN : 978-84-376-1526-4
656," Graves, Robert","Los mitos griegos, 2"," Argentina : Ed. Alianza, 2010 ; 400 p. ; 20 cm.",ISBN : 978-950-40-0209-3
657," Marechal, Leopoldo",Adán Buenosayres," Argentina : Ed. Emecé, 2010 ; 611p. ; 22 cm.",ISBN : 978-950-04-3308-2
658," Argibay, Pablo",Cortar y pegar transplanta de órganos y reconstrucción del cuarpo humano," Argentina : Ed. Siglo Veintiuno, 2007 ; il. ; 124 p. ; 19 cm.",ISBN : 978-987-1220-79-3
659," Cereijido, Marcelino",Elogio del desequilibrio en busca del orden y el desorden en la vida," Arbentina: Ed. Siglo Veintiuno, 2012 ; il. ; 126 p. ; 19 cm.",ISBN : 978-987-629-070-8
660," ROSENVASSER Feher, Elsa","Simetría izquierda y derecha, antes y despues, chico y grande en el mundo"," Argentina : Ed. Siglo Veintiuno, 2012 ; il. ; 172 p. ; 19 cm.",ISBN : 978-987-629-101-9
